site.name,site.id,dataset.id,age,tave_mat,tave_wa,tave_wapls,tave,lat,long
Fort Bragg (core PAW2),10103,15191,5500,8.12,9.76889909,8.854780946,8.914560012,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,6500,8.71,10.71147752,9.367214948,9.596230823,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,7500,9.905,12.24821036,11.04482428,11.06601155,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,8500,8.284,8.895928999,8.435866781,8.538598593,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,9500,8.476666667,9.088804356,8.522334059,8.695935027,35.173545,-79.089805
Fort Bragg (core PAW2),10103,15191,10500,6.059333333,4.570459249,4.915039465,5.181610682,35.173545,-79.089805
Black Gum Swamp,10172,15327,10500,3.426,1.619314607,3.083979801,2.709764803,42.5375,-72.1829
Black Gum Swamp,10172,15327,11500,0.081,-2.499411508,-0.810372135,-1.076261214,42.5375,-72.1829
Black Gum Swamp,10172,15327,12500,-1.468,-2.843127866,-1.038650998,-1.783259621,42.5375,-72.1829
Black Gum Swamp,10172,15327,13500,-0.003333333,-1.143526236,0.647699593,-0.166386659,42.5375,-72.1829
Black Gum Swamp,10172,15327,14500,-3.942,-2.286116543,-2.763249494,-2.997122012,42.5375,-72.1829
Tannersville Bog,2536,15866,500,8.070666667,7.044363056,8.116205033,7.743744919,41.038875,-75.263845
Tannersville Bog,2536,15866,1500,7.065090909,7.022716418,8.344578082,7.477461803,41.038875,-75.263845
Tannersville Bog,2536,15866,2500,7.41,7.749767842,8.815564007,7.991777283,41.038875,-75.263845
Tannersville Bog,2536,15866,3500,7.777333333,9.01834192,9.792070054,8.862581769,41.038875,-75.263845
Tannersville Bog,2536,15866,4500,8.777333333,9.363812634,10.13974459,9.42696352,41.038875,-75.263845
Tannersville Bog,2536,15866,5500,9.707333333,10.54677285,11.63514848,10.62975155,41.038875,-75.263845
Tannersville Bog,2536,15866,6500,9.697333333,10.0625249,11.27014792,10.34333538,41.038875,-75.263845
Tannersville Bog,2536,15866,7500,9.312666667,10.14800334,11.13131075,10.19732692,41.038875,-75.263845
Tannersville Bog,2536,15866,8500,9.4516,9.965376477,10.97264776,10.12987475,41.038875,-75.263845
Tannersville Bog,2536,15866,9500,8.1124,9.074667766,9.931263925,9.039443897,41.038875,-75.263845
Tannersville Bog,2536,15866,10500,6.388,6.818846073,8.180222132,7.129022735,41.038875,-75.263845
Tannersville Bog,2536,15866,11500,3.6975,2.200170157,3.493313811,3.130327989,41.038875,-75.263845
Crystal Lake,10413,15886,6500,8.853333333,11.24684332,11.49622481,10.53213382,42.234015,-88.357005
Crystal Lake,10413,15886,7500,7.667142857,10.63593254,10.80696194,9.703345779,42.234015,-88.357005
Crystal Lake,10413,15886,8500,8.106,11.34551701,11.56182713,10.33778138,42.234015,-88.357005
Crystal Lake,10413,15886,9500,8.0522,11.16018667,11.65700527,10.28979731,42.234015,-88.357005
Crystal Lake,10413,15886,10500,7.542545455,10.45226958,11.18851301,9.727776017,42.234015,-88.357005
Crystal Lake,10413,15886,11500,3.8205,4.47943724,6.011258401,4.770398547,42.234015,-88.357005
Crystal Lake,10413,15886,12500,1.448615385,2.690661585,4.125064824,2.754780598,42.234015,-88.357005
Crystal Lake,10413,15886,13500,1.450615385,3.697335102,5.16469385,3.437548112,42.234015,-88.357005
Crystal Lake,10413,15886,14500,-2.595,-0.940402156,0.189630985,-1.115257057,42.234015,-88.357005
Crystal Lake,10413,15886,15500,-3.727555556,-2.515753959,-1.487299149,-2.576869554,42.234015,-88.357005
Crystal Lake,10413,15886,16500,-3.486,-3.443886138,-2.224364839,-3.051416992,42.234015,-88.357005
White Lake,10415,15892,9500,7.716,8.2420451,9.603459029,8.520501377,40.99967,-74.91347
White Lake,10415,15892,10500,5.396666667,4.664032859,6.08873984,5.383146455,40.99967,-74.91347
White Lake,10415,15892,11500,3.433272727,1.484852975,3.003566887,2.640564196,40.99967,-74.91347
White Lake,10415,15892,12500,1.835454545,1.049888549,2.548947718,1.811430271,40.99967,-74.91347
White Lake,10415,15892,13500,1.782909091,1.796198235,3.508532502,2.362546609,40.99967,-74.91347
White Lake,10415,15892,14500,-2.57,-3.392845391,-2.523861291,-2.828902227,40.99967,-74.91347
Ballston Lake,10424,15909,1500,6.671,7.381485067,9.579821473,7.877435513,42.94975,-73.85325
Ballston Lake,10424,15909,2500,6.363333333,6.979278215,9.308804322,7.550471957,42.94975,-73.85325
Ballston Lake,10424,15909,3500,6.4715,7.046257371,9.517866341,7.678541237,42.94975,-73.85325
Ballston Lake,10424,15909,4500,6.8596,8.311576123,10.20204433,8.457740151,42.94975,-73.85325
Ballston Lake,10424,15909,5500,6.760333333,8.150213159,10.55214079,8.487562427,42.94975,-73.85325
Ballston Lake,10424,15909,6500,6.582,7.962682737,10.58418604,8.376289591,42.94975,-73.85325
Ballston Lake,10424,15909,7500,6.574,7.885835497,10.58265569,8.347497061,42.94975,-73.85325
Ballston Lake,10424,15909,8500,6.5588,7.611714269,10.09155737,8.087357212,42.94975,-73.85325
Ballston Lake,10424,15909,9500,6.305333333,6.508666356,8.519449466,7.111149718,42.94975,-73.85325
Ballston Lake,10424,15909,10500,5.406571429,3.791847546,5.331206191,4.843208389,42.94975,-73.85325
Ballston Lake,10424,15909,11500,3.331142857,1.21856875,2.947581252,2.49909762,42.94975,-73.85325
Ballston Lake,10424,15909,12500,-0.9175,-3.288771922,-1.641394775,-1.949222232,42.94975,-73.85325
Jay Lake,10430,15922,500,4.0224,2.987603803,4.872308377,3.960770727,46.23435,-89.28155
Jay Lake,10430,15922,1500,4.277333333,3.007254718,4.890079565,4.058222539,46.23435,-89.28155
